simulation_time,current_phase_index,phase_state,phase_duration,time_in_current_phase,remaining_phase_time,phase_category,active_flowsense_ns_green_sec,active_flowsense_ew_green_sec,most_recent_flowsense_decision_time,most_recent_selected_phase
800,3,rrrrGGggrrrrGGgg,18.0,6.0,12.0,EW green,42,18,0,NS
801,3,rrrrGGggrrrrGGgg,18.0,7.0,11.0,EW green,42,18,0,NS
802,3,rrrrGGggrrrrGGgg,18.0,8.0,10.0,EW green,42,18,0,NS
803,3,rrrrGGggrrrrGGgg,18.0,9.0,9.0,EW green,42,18,0,NS
804,3,rrrrGGggrrrrGGgg,18.0,10.0,8.0,EW green,42,18,0,NS
805,3,rrrrGGggrrrrGGgg,18.0,11.0,7.0,EW green,42,18,0,NS
806,3,rrrrGGggrrrrGGgg,18.0,12.0,6.0,EW green,42,18,0,NS
807,3,rrrrGGggrrrrGGgg,18.0,13.0,5.0,EW green,42,18,0,NS
808,3,rrrrGGggrrrrGGgg,18.0,14.0,4.0,EW green,42,18,0,NS
809,3,rrrrGGggrrrrGGgg,18.0,15.0,3.0,EW green,42,18,0,NS
810,3,rrrrGGggrrrrGGgg,18.0,16.0,2.0,EW green,42,18,0,NS
811,3,rrrrGGggrrrrGGgg,18.0,17.0,1.0,EW green,42,18,0,NS
812,3,rrrrGGggrrrrGGgg,18.0,18.0,0.0,EW green,42,18,0,NS
813,4,rrrryyyyrrrryyyy,3.0,1.0,2.0,EW yellow,42,18,0,NS
814,4,rrrryyyyrrrryyyy,3.0,2.0,1.0,EW yellow,42,18,0,NS
815,4,rrrryyyyrrrryyyy,3.0,3.0,0.0,EW yellow,42,18,0,NS
816,5,rrrrrrrrrrrrrrrr,1.0,1.0,0.0,all-red (EW to NS),42,18,0,NS
817,0,GGggrrrrGGggrrrr,42.0,1.0,41.0,NS green,42,18,0,NS
818,0,GGggrrrrGGggrrrr,42.0,2.0,40.0,NS green,42,18,0,NS
819,0,GGggrrrrGGggrrrr,42.0,3.0,39.0,NS green,42,18,0,NS
820,0,GGggrrrrGGggrrrr,42.0,4.0,38.0,NS green,42,18,0,NS
821,0,GGggrrrrGGggrrrr,42.0,5.0,37.0,NS green,42,18,0,NS
822,0,GGggrrrrGGggrrrr,42.0,6.0,36.0,NS green,42,18,0,NS
823,0,GGggrrrrGGggrrrr,42.0,7.0,35.0,NS green,42,18,0,NS
824,0,GGggrrrrGGggrrrr,42.0,8.0,34.0,NS green,42,18,0,NS
825,0,GGggrrrrGGggrrrr,42.0,9.0,33.0,NS green,42,18,0,NS
826,0,GGggrrrrGGggrrrr,42.0,10.0,32.0,NS green,42,18,0,NS
827,0,GGggrrrrGGggrrrr,42.0,11.0,31.0,NS green,42,18,0,NS
828,0,GGggrrrrGGggrrrr,42.0,12.0,30.0,NS green,42,18,0,NS
829,0,GGggrrrrGGggrrrr,42.0,13.0,29.0,NS green,42,18,0,NS
830,0,GGggrrrrGGggrrrr,42.0,14.0,28.0,NS green,42,18,0,NS
831,0,GGggrrrrGGggrrrr,42.0,15.0,27.0,NS green,42,18,0,NS
832,0,GGggrrrrGGggrrrr,42.0,16.0,26.0,NS green,42,18,0,NS
833,0,GGggrrrrGGggrrrr,42.0,17.0,25.0,NS green,42,18,0,NS
834,0,GGggrrrrGGggrrrr,42.0,18.0,24.0,NS green,42,18,0,NS
835,0,GGggrrrrGGggrrrr,42.0,19.0,23.0,NS green,42,18,0,NS
836,0,GGggrrrrGGggrrrr,42.0,20.0,22.0,NS green,42,18,0,NS
837,0,GGggrrrrGGggrrrr,42.0,21.0,21.0,NS green,42,18,0,NS
838,0,GGggrrrrGGggrrrr,42.0,22.0,20.0,NS green,42,18,0,NS
839,0,GGggrrrrGGggrrrr,42.0,23.0,19.0,NS green,42,18,0,NS
840,0,GGggrrrrGGggrrrr,42.0,24.0,18.0,NS green,42,18,0,NS
841,0,GGggrrrrGGggrrrr,42.0,25.0,17.0,NS green,42,18,0,NS
842,0,GGggrrrrGGggrrrr,42.0,26.0,16.0,NS green,42,18,0,NS
843,0,GGggrrrrGGggrrrr,42.0,27.0,15.0,NS green,42,18,0,NS
844,0,GGggrrrrGGggrrrr,42.0,28.0,14.0,NS green,42,18,0,NS
845,0,GGggrrrrGGggrrrr,42.0,29.0,13.0,NS green,42,18,0,NS
846,0,GGggrrrrGGggrrrr,42.0,30.0,12.0,NS green,42,18,0,NS
847,0,GGggrrrrGGggrrrr,42.0,31.0,11.0,NS green,42,18,0,NS
848,0,GGggrrrrGGggrrrr,42.0,32.0,10.0,NS green,42,18,0,NS
849,0,GGggrrrrGGggrrrr,42.0,33.0,9.0,NS green,42,18,0,NS
850,0,GGggrrrrGGggrrrr,42.0,34.0,8.0,NS green,42,18,0,NS
851,0,GGggrrrrGGggrrrr,42.0,35.0,7.0,NS green,42,18,0,NS
852,0,GGggrrrrGGggrrrr,42.0,36.0,6.0,NS green,42,18,0,NS
853,0,GGggrrrrGGggrrrr,42.0,37.0,5.0,NS green,42,18,0,NS
854,0,GGggrrrrGGggrrrr,42.0,38.0,4.0,NS green,42,18,0,NS
855,0,GGggrrrrGGggrrrr,42.0,39.0,3.0,NS green,42,18,0,NS
856,0,GGggrrrrGGggrrrr,42.0,40.0,2.0,NS green,42,18,0,NS
857,0,GGggrrrrGGggrrrr,42.0,41.0,1.0,NS green,42,18,0,NS
858,0,GGggrrrrGGggrrrr,42.0,42.0,0.0,NS green,42,18,0,NS
859,1,yyyyrrrryyyyrrrr,3.0,1.0,2.0,NS yellow,42,18,0,NS
860,1,yyyyrrrryyyyrrrr,3.0,2.0,1.0,NS yellow,42,18,0,NS
861,1,yyyyrrrryyyyrrrr,3.0,3.0,0.0,NS yellow,42,18,0,NS
862,2,rrrrrrrrrrrrrrrr,1.0,1.0,0.0,all-red (NS to EW),42,18,0,NS
863,3,rrrrGGggrrrrGGgg,18.0,1.0,17.0,EW green,42,18,0,NS
864,3,rrrrGGggrrrrGGgg,18.0,2.0,16.0,EW green,42,18,0,NS
865,3,rrrrGGggrrrrGGgg,18.0,3.0,15.0,EW green,42,18,0,NS
866,3,rrrrGGggrrrrGGgg,18.0,4.0,14.0,EW green,42,18,0,NS
867,3,rrrrGGggrrrrGGgg,18.0,5.0,13.0,EW green,42,18,0,NS
868,3,rrrrGGggrrrrGGgg,18.0,6.0,12.0,EW green,42,18,0,NS
869,3,rrrrGGggrrrrGGgg,18.0,7.0,11.0,EW green,42,18,0,NS
870,3,rrrrGGggrrrrGGgg,18.0,8.0,10.0,EW green,42,18,0,NS
871,3,rrrrGGggrrrrGGgg,18.0,9.0,9.0,EW green,42,18,0,NS
872,3,rrrrGGggrrrrGGgg,18.0,10.0,8.0,EW green,42,18,0,NS
873,3,rrrrGGggrrrrGGgg,18.0,11.0,7.0,EW green,42,18,0,NS
874,3,rrrrGGggrrrrGGgg,18.0,12.0,6.0,EW green,42,18,0,NS
875,3,rrrrGGggrrrrGGgg,18.0,13.0,5.0,EW green,42,18,0,NS
876,3,rrrrGGggrrrrGGgg,18.0,14.0,4.0,EW green,42,18,0,NS
877,3,rrrrGGggrrrrGGgg,18.0,15.0,3.0,EW green,42,18,0,NS
878,3,rrrrGGggrrrrGGgg,18.0,16.0,2.0,EW green,42,18,0,NS
879,3,rrrrGGggrrrrGGgg,18.0,17.0,1.0,EW green,42,18,0,NS
880,3,rrrrGGggrrrrGGgg,18.0,18.0,0.0,EW green,42,18,0,NS
881,4,rrrryyyyrrrryyyy,3.0,1.0,2.0,EW yellow,42,18,0,NS
882,4,rrrryyyyrrrryyyy,3.0,2.0,1.0,EW yellow,42,18,0,NS
